bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
тот	тот	that, the other, the right	jener, jenes, jene, dieser, dieses, diese, der, das, die, der vorige, der eine							тот	того'	тому'	то'т, того'	тем	том	та	то'й	то'й	ту	то'й, то'ю	то'й	то	того'	тому'	то	тем	том	те	тех	тем	те, тех	те'ми	тех
как	как	how	wie, als, was																														
этот	э'тот	this	dieser, dieses, diese							э'тот	э'того	э'тому	э'тот, э'того	э'тим	э'том	э'та	э'той	э'той	э'ту	э'той, э'тою	э'той	э'то	э'того	э'тому	э'то	э'тим	э'том	э'ти	э'тих	э'тим	э'ти, э'тих	э'тими	э'тих
который	кото'рый	which, that; who	welcher, der							кото'рый	кото'рого	кото'рому	кото'рый, кото'рого	кото'рым	кото'ром	кото'рая	кото'рой	кото'рой	кото'рую	кото'рой	кото'рой	кото'рое	кото'рого	кото'рому	кото'рое	кото'рым	кото'ром	кото'рые	кото'рых	кото'рым	кото'рые, кото'рых	кото'рыми	кото'рых
такой	тако'й	such, so, that sort of	solch ein - so ein - so; ein solcher							тако'й	тако'го	тако'му	тако'й,тако'го	таки'м	тако'м	така'я	тако'й	тако'й	таку'ю	тако'й, тако'ю	тако'й	тако'е	тако'го	тако'му	тако'е	таки'м	тако'м	таки'е	таки'х	таки'м	таки'е,таки'х	таки'ми	таки'х
какой	како'й	which, what, what kind of	welcher, was für, was für ein, welch							како'й	како'го	како'му	како'й,како'го	каки'м	како'м	кака'я	како'й	како'й	каку'ю	како'й, како'ю	како'й	како'е	како'го	како'му	како'е	каки'м	како'м	каки'е	каки'х	каки'м	каки'е,каки'х	каки'ми	каки'х
мой	мой	my, mine, my people	mein, meine							мо'й	моего'	моему'	мо'й, моего'	мои'м	моём	моя'	мое'й	мое'й	мою'	мое'й, мое'ю	мое'й	моё	моего'	моему'	моё	мои'м	моём	мои'	мои'х	мои'м	мои', мои'х	мои'ми	мои'х
самый	са'мый	the most	meisten, ganz; selbst; aller-							са'мый	са'мого	са'мому	са'мый,са'мого	са'мым	са'мом	са'мая	са'мой	са'мой	са'мую	са'мой, са'мою	са'мой	са'мое	са'мого	са'мому	са'мое	са'мым	са'мом	са'мые	са'мых	са'мым	са'мые,са'мых	са'мыми	са'мых
большой	большо'й	big, large, great, important, grown-up	groß	бо'льше;бо'льший	наибо'льший	вели'к	велика'	велико'	велики'	большо'й	большо'го	большо'му	большо'го,большо'й	больши'м	большо'м	больша'я	большо'й	большо'й	большу'ю	большо'й,большо'ю	большо'й	большо'е	большо'го	большо'му	большо'е	больши'м	большо'м	больши'е	больши'х	больши'м	больши'х,больши'е	больши'ми	больши'х
другой	друго'й	other, another, different, another thing, something else, others, the rest	andere, nächste, folgende							друго'й	друго'го	друго'му	друго'й,друго'го	други'м	друго'м	друга'я	друго'й	друго'й	другу'ю	друго'й, друго'ю	друго'й	друго'е	друго'го	друго'му	друго'е	други'м	друго'м	други'е	други'х	други'м	други'е,други'х	други'ми	други'х
свой	свой	my; your; his; her; our; their	seine							сво'й	своего'	своему'	сво'й,своего'	свои'м	своём	своя'	свое'й	свое'й	свою'	свое'й, свое'ю	свое'й	своё	своего'	своему'	своё	свои'м	своём	свои'	свои'х	свои'м	свои',свои'х	свои'ми	свои'х
сам	сам	ourselves, yourself, thyself, yourselves, himself, herself, itself, themselves	selbst, selber, allein, selbständig, von selbst							са'м	самого'	самому'	са'м,самого'	сами'м	само'м	сама'	само'й	само'й	саму', самое'	само'й, самою'	само'й	само'	самого'	самому'	само'	сами'м	само'м	са'ми	сами'х	сами'м	са'ми,сами'х	сами'ми	сами'х
первый	пе'рвый	first, front, former, earliest	erste							пе'рвый	пе'рвого	пе'рвому	пе'рвый, пе'рвого	пе'рвым	пе'рвом	пе'рвая	пе'рвой	пе'рвой	пе'рвую	пе'рвой, пе'рвою	пе'рвой	пе'рвое	пе'рвого	пе'рвому	пе'рвое	пе'рвым	пе'рвом	пе'рвые	пе'рвых	пе'рвым	пе'рвые, пе'рвых	пе'рвыми	пе'рвых
должный	до'лжный	must	sollen, müssen			до'лжен	должна'	должно'	должны'	до'лжный	до'лжного	до'лжному	до'лжный,до'лжного	до'лжным	до'лжном	до'лжная	до'лжной	до'лжной	до'лжную	до'лжной,(до'лжною)	до'лжной	до'лжное	до'лжного	до'лжному	до'лжное	до'лжным	до'лжном	до'лжные	до'лжных	до'лжным	до'лжные,до'лжных	до'лжными	до'лжных
новый	но'вый	new, novel	neu	нове'е	нове'йший	нов	нова'	но'во	но'вы / новы'	но'вый	но'вого	но'вому	но'вый, но'вого	но'вым	но'вом	но'вая	но'вой	но'вой	но'вую	но'вой, но'вою	но'вой	но'вое	но'вого	но'вому	но'вое, но'вого	но'вым	но'вом	но'вые	но'вых	но'вым	но'вые, но'вых	но'выми	но'вых
каждый	ка'ждый	each, every, everyone	jeder, jede, jedes, alle							ка'ждый	ка'ждого	ка'ждому	ка'ждого,ка'ждый	ка'ждым	ка'ждом	ка'ждая	ка'ждой	ка'ждой	ка'ждую	ка'ждой,ка'ждою	ка'ждой	ка'ждое	ка'ждого	ка'ждому	ка'ждое	ка'ждым	ка'ждом	ка'ждые	ка'ждых	ка'ждым	ка'ждых,ка'ждые	ка'ждыми	ка'ждых
хороший	хоро'ший	good, beautiful, handsome	gut, schön	лу'чше	лу'чший;наилу'чший	хоро'ш	хороша'	хорошо'	хороши'	хоро'ший	хоро'шего	хоро'шему	хоро'шего,хоро'ший	хоро'шим	хоро'шем	хоро'шая	хоро'шей	хоро'шей	хоро'шую	хоро'шей,хоро'шею	хоро'шей	хоро'шее	хоро'шего	хоро'шему	хоро'шее	хоро'шим	хоро'шем	хоро'шие	хоро'ших	хоро'шим	хоро'ших,хоро'шие	хоро'шими	хоро'ших
нужный	ну'жный	necessary, needed	brauchen; nötig sein (müssen), notwendig			ну'жен	нужна'	ну'жно	нужны'	ну'жный	ну'жного	ну'жному	ну'жный,ну'жного	ну'жным	ну'жном	ну'жная	ну'жной	ну'жной	ну'жную	ну'жной,(ну'жною)	ну'жной	ну'жное	ну'жного	ну'жному	ну'жное	ну'жным	ну'жном	ну'жные	ну'жных	ну'жным	ну'жные,ну'жных	ну'жными	ну'жных
последний	после'дний	last, latest, latter, recent	letzter, letztes, aktuellste, neueste, jüngste; der Letzte, das Letzte (Schlimmste, Schlechteste)							после'дний	после'днего	после'днему	после'дний,после'днего	после'дним	после'днем	после'дняя	после'дней	после'дней	после'днюю	после'дней,(после'днею)	после'дней	после'днее	после'днего	после'днему	после'днее	после'дним	после'днем	после'дние	после'дних	после'дним	после'дние,после'дних	после'дними	после'дних
второй	второ'й	second, the latter	zweiter							второ'й	второ'го	второ'му	второ'го,второ'й	вторы'м	второ'м	втора'я	второ'й	второ'й	втору'ю	второ'й,второ'ю	второ'й	второ'е	второ'го	второ'му	второ'е	вторы'м	второ'м	вторы'е	вторы'х	вторы'м	вторы'х,вторы'е	вторы'ми	вторы'х
старый	ста'рый	old, ancient, the old, the past	alt, Alt-; der Alte	ста'рше;старе'е	старе'йший;ста'рший	стар	стара'	ста'ро,старо'	ста'ры,стары'	ста'рый	ста'рого	ста'рому	ста'рый, ста'рого	ста'рым	ста'ром	ста'рая	ста'рой	ста'рой	ста'рую	ста'рой, ста'рою	ста'рой	ста'рое	ста'рого	ста'рому	ста'рое	ста'рым	ста'ром	ста'рые	ста'рых	ста'рым	ста'рых, ста'рые	ста'рыми	ста'рых
твой	твой	your, yours, thy, thine, your people	dein, deine							тво'й	твоего'	твоему'	тво'й,твоего'	твои'м	твоём	твоя'	твое'й	твое'й	твою'	твое'й, твое'ю	твое'й	твоё	твоего'	твоему'	твоё	твои'м	твоём	твои'	твои'х	твои'м	твои',твои'х	твои'ми	твои'х
белый	бе'лый	white	weiß			бе'л	бела'	бе'ло,бело'	бе'лы,белы'	бе'лый	бе'лого	бе'лому	бе'лый, бе'лого	бе'лым	бе'лом	бе'лая	бе'лой	бе'лой	бе'лую	бе'лой, бе'лою	бе'лой	бе'лое	бе'лого	бе'лому	бе'лое	бе'лым	бе'лом	бе'лые	бе'лых	бе'лым	бе'лые, бе'лых	бе'лыми	бе'лых
главный	гла'вный	main, chief, principal, head	Haupt-; Chef-	главне'е	са'мый гла'вный	гла'вен	главна'	гла'вно	гла'вны	гла'вный	гла'вного	гла'вному	гла'вный,гла'вного	гла'вным	гла'вном	гла'вная	гла'вной	гла'вной	гла'вную	гла'вной,(гла'вною)	гла'вной	гла'вное	гла'вного	гла'вному	гла'вное	гла'вным	гла'вном	гла'вные	гла'вных	гла'вным	гла'вные,гла'вных	гла'вными	гла'вных
никакой	никако'й	no...at all, no...whatsoever, none	kein, keinerlei							никако'й	никако'го	никако'му	никако'й,никако'го	никаки'м	никако'м	никака'я	никако'й	никако'й	никаку'ю	никако'й, никако'ю	никако'й	никако'е	никако'го	никако'му	никако'е	никаки'м	никако'м	никаки'е	никаки'х	никаки'м	никаки'е,никаки'х	никаки'ми	никаки'х
некоторый	не'который	some, some people	einige, ein gewisser							не'который	не'которого	не'которому	не'которого, не'который	не'которым	не'котором	не'которая	не'которой	не'которой	не'которую	не'которой	не'которой	не'которое	не'которого	не'которому	не'которое	не'которым	некотором	не'которые	не'которых	не'которым	не'которых, не'которые	не'которыми	не'которых
далёкий	далёкий	far	fern, weit, entfernt, entlegen, fremd			далёк	далека'	далеко'	далеки'//далёки	далёкий	далёкого	далёкому	далёкий,далёкого	далёким	далёком	далёкая	далёкой	далёкой	далёкую	далёкой, далёкою	далёкой	далёкое	далёкого	далёкому	далёкое	далёким	далёком	далёкие	далёких	далёким	далёкие,далёких	далёкими	далёких
маленький	ма'ленький	small, little, diminutive, slight, young, baby, child	klein, winzig	ме'ньше;ме'ньший	наиме'ньший	мал	мала'	мало'	малы'	ма'ленький	ма'ленького	ма'ленькому	ма'ленький,ма'ленького	ма'леньким	ма'леньком	ма'ленькая	ма'ленькой	ма'ленькой	ма'ленькую	ма'ленькой,(ма'ленькою)	ма'ленькой	ма'ленькое	ма'ленького	ма'ленькому	ма'ленькое	ма'леньким	ма'леньком	ма'ленькие	ма'леньких	ма'леньким	ма'ленькие,ма'леньких	ма'ленькими	ма'леньких
советский	сове'тский	Soviet	sowjetisch							сове'тский	сове'тского	сове'тскому	сове'тский,сове'тского	сове'тским	сове'тском	сове'тская	сове'тской	сове'тской	сове'тскую	сове'тской,(сове'тскою)	сове'тской	сове'тское	сове'тского	сове'тскому	сове'тское	сове'тским	сове'тском	сове'тские	сове'тских	сове'тским	сове'тские,сове'тских	сове'тскими	сове'тских
русский	ру'сский	Russian	russisch							ру'сский	ру'сского	ру'сскому	ру'сского,ру'сский	ру'сским	ру'сском	ру'сская	ру'сской	ру'сской	ру'сскую	ру'сской,ру'сскою	ру'сской	ру'сское	ру'сского	ру'сскому	ру'сское	ру'сским	ру'сском	ру'сские	ру'сских	ру'сским	ру'сских,ру'сские	ру'сскими	ру'сских
полный	по'лный	is full of	voll, völlig, vollständig (komplett, lückenlos); vollschlank, mollig, füllig, korpulent	полне'е	полне'йший	по'лон	полна'	полно'	полны'	по'лный	по'лного	по'лному	по'лный,по'лного	по'лным	по'лном	по'лная	по'лной	по'лной	по'лную	по'лной,(по'лною)	по'лной	по'лное	по'лного	по'лному	по'лное	по'лным	по'лном	по'лные	по'лных	по'лным	по'лные,по'лных	по'лными	по'лных
любой	любо'й	any, every, anyone, either	jeder, jede, jedes, jeden; beliebig, x-beliebig							любо'й	любо'го	любо'му	любо'й,любо'го	любы'м	любо'м	люба'я	любо'й	любо'й	любу'ю	любо'й, любо'ю	любо'й	любо'е	любо'го	любо'му	любо'е	любы'м	любо'м	любы'е	любы'х	любы'м	любы'е,любы'х	любы'ми	любы'х
известный	изве'стный	well-known, known, notorious; certain; famous	bekannt, berühmt, berüchtigt; bestimmt, gewiß			изве'стен	изве'стна	изве'стно	изве'стны	изве'стный	изве'стного	изве'стному	изве'стный,изве'стного	изве'стным	изве'стном	изве'стная	изве'стной	изве'стной	изве'стную	изве'стной,(изве'стною)	изве'стной	изве'стное	изве'стного	изве'стному	изве'стное	изве'стным	изве'стном	изве'стные	изве'стных	изве'стным	изве'стные,изве'стных	изве'стными	изве'стных
общий	о'бщий	general, common, mutual, aggregate, total	gemeinsam, allgemein, grundlegend, Gesamt-			о'бщ	обща'	о'бще	о'бщи	о'бщий	о'бщего	о'бщему	о'бщего,о'бщий	о'бщим	о'бщем	о'бщая	о'бщей	о'бщей	о'бщую	о'бщей,о'бщею	о'бщей	о'бщее	о'бщего	о'бщему	о'бщее	о'бщим	о'бщем	о'бщие	о'бщих	о'бщим	о'бщих,о'бщие	о'бщими	о'бщих
прошлый	про'шлый	past; last	vergangene, vorige							про'шлый	про'шлого	про'шлому	про'шлый, про'шлого	про'шлым	про'шлом	про'шлая	про'шлой	про'шлой	про'шлую	про'шлой, про'шлою	про'шлой	про'шлое	про'шлого	про'шлому	про'шлое	про'шлым	про'шлом	про'шлые	про'шлых	про'шлым	про'шлые, про'шлых	про'шлыми	про'шлых
похожий	похо'жий	similar, resembling, alike	ähnlich; aussehen, scheinen (als ob, wie)			похо'ж	похо'жа	похо'же	похо'жи	похо'жий	похо'жего	похо'жему	похо'жий,похо'жего	похо'жим	похо'жем	похо'жая	похо'жей	похо'жей	похо'жую	похо'жей,(похо'жею)	похо'жей	похо'жее	похо'жего	похо'жему	похо'жее	похо'жим	похо'жем	похо'жие	похо'жих	похо'жим	похо'жие,похо'жих	похо'жими	похо'жих
красный	кра'сный	red	rot	красне'е	красне'йший	кра'сен	красна'	кра'сно,красно'	кра'сны,красны'	кра'сный	кра'сного	кра'сному	кра'сный,кра'сного	кра'сным	кра'сном	кра'сная	кра'сной	кра'сной	кра'сную	кра'сной,(кра'сною)	кра'сной	кра'сное	кра'сного	кра'сному	кра'сное	кра'сным	кра'сном	кра'сные	кра'сных	кра'сным	кра'сные,кра'сных	кра'сными	кра'сных
высокий	высо'кий	high; tall	hoch, erhaben; groß	вы'ше	высоча'йший;вы'сший	высо'к	высока'	высоко',высо'ко	высоки',высо'ки	высо'кий	высо'кого	высо'кому	высо'кий,высо'кого	высо'ким	высо'ком	высо'кая	высо'кой	высо'кой	высо'кую	высо'кой,(высо'кою)	высо'кой	высо'кое	высо'кого	высо'кому	высо'кое	высо'ким	высо'ком	высо'кие	высо'ких	высо'ким	высо'кие,высо'ких	высо'кими	высо'ких
ранний	ра'нний	early	früh, Früh-, zeitig, frühzeitig	ра'ньше						ра'нний	ра'ннего	ра'ннему	ра'нний,ра'ннего	ра'нним	ра'ннем	ра'нняя	ра'нней	ра'нней	ра'ннюю	ра'нней,(ра'ннею)	ра'нней	ра'ннее	ра'ннего	ра'ннему	ра'ннее	ра'нним	ра'ннем	ра'нние	ра'нних	ра'нним	ра'нние,ра'нних	ра'нними	ра'нних
целый	це'лый	whole, entire	ganz, voll, heil, unversehrt			цел	цела'	це'ло	це'лы	це'лый	це'лого	це'лому	це'лого,це'лый	це'лым	це'лом	це'лая	це'лой	це'лой	це'лую	це'лой,це'лою	це'лой	це'лое	це'лого	це'лому	це'лое	це'лым	це'лом	це'лые	це'лых	це'лым	це'лых,це'лые	це'лыми	це'лых
молодой	молодо'й	young, youthful, new, bridegroom	jung; jugendlich, angehend	моло'же	молодейший	мо'лод	молода'	мо'лодо	мо'лоды	молодо'й	молодо'го	молодо'му	молодо'го,молодо'й	молоды'м	молодо'м	молода'я	молодо'й	молодо'й	молоду'ю	молодо'й,молодо'ю	молодо'й	молодо'е	молодо'го	молодо'му	молодо'е	молоды'м	молодо'м	молоды'е	молоды'х	молоды'м	молоды'х,молоды'е	молоды'ми	молоды'х
огромный	огро'мный	enormous, huge, vast	riesig, Riesen-, riesengroß; gewaltig, enorm			огро'мен	огро'мна	огро'мно	огро'мны	огро'мный	огро'много	огро'мному	огро'мный,огро'много	огро'мным	огро'мном	огро'мная	огро'мной	огро'мной	огро'мную	огро'мной,(огро'мною)	огро'мной	огро'мное	огро'много	огро'мному	огро'мное	огро'мным	огро'мном	огро'мные	огро'мных	огро'мным	огро'мные,огро'мных	огро'мными	огро'мных
настоящий	настоя'щий	real, genuine, true, complete, utter	echt, authentisch; wahr, wahrhaft, aufrichtig, richtig, wirklich; gegenwärtig							настоя'щий	настоя'щего	настоя'щему	настоя'щий,настоя'щего	настоя'щим	настоя'щем	настоя'щая	настоя'щей	настоя'щей	настоя'щую	настоя'щей,(настоя'щею)	настоя'щей	настоя'щее	настоя'щего	настоя'щему	настоя'щее	настоя'щим	настоя'щем	настоя'щие	настоя'щих	настоя'щим	настоя'щие,настоя'щих	настоя'щими	настоя'щих
живой	живо'й	alive	lebend, live, Lebe-; lebendig (lebhaft, rege, munter)			жив	жива'	жи'во	жи'вы	живо'й	живо'го	живо'му	живо'го,живо'й	живы'м	живо'м	жива'я	живо'й	живо'й	живу'ю	живо'й,живо'ю	живо'й	живо'е	живо'го	живо'му	живо'е	живы'м	живо'м	живы'е	живы'х	живы'м	живы'х,живы'е	живы'ми	живы'х
чёрный	чёрный	black	schwarz			чёрен	черна'	черно'	черны'	чёрный	чёрного	чёрному	чёрный,чёрного	чёрным	чёрном	чёрная	чёрной	чёрной	чёрную	чёрной, чёрною	чёрной	чёрное	чёрного	чёрному	чёрное	чёрным	чёрном	чёрные	чёрных	чёрным	чёрные,чёрных	чёрными	чёрных
собственный	со'бственный	own	eigene(r, s), Eigen-, * (persönlich); eigentlich			со'бствен, со'бственен	со'бственно	со'бственна	со'бственны	со'бственный	со'бственного	со'бственному	со'бственный,со'бственного	со'бственным	со'бственном	со'бственная	со'бственной	со'бственной	со'бственную	со'бственной,(со'бственною)	со'бственной	со'бственное	со'бственного	со'бственному	со'бственное	со'бственным	со'бственном	со'бственные	со'бственных	со'бственным	со'бственные,со'бственных	со'бственными	со'бственных
разный	ра'зный	different, diverse, various	verschieden, unterschiedlich, verschiedenartig, allerlei			ра'зен	ра'зна	ра'зно	ра'зны	ра'зный	ра'зного	ра'зному	ра'зный,ра'зного	ра'зным	ра'зном	ра'зная	ра'зной	ра'зной	ра'зную	ра'зной,(ра'зною)	ра'зной	ра'зное	ра'зного	ра'зному	ра'зное	ра'зным	ра'зном	ра'зные	ра'зных	ра'зным	ра'зные,ра'зных	ра'зными	ра'зных
третий	тре'тий	third	der dritte							тре'тий	тре'тьего	тре'тьему	тре'тьего,тре'тий	тре'тьим	тре'тьем	тре'тья	тре'тьей	тре'тьей	тре'тью	тре'тьей,тре'тьею	тре'тьей	тре'тье	тре'тьего	тре'тьему	тре'тье	тре'тьим	тре'тьем	тре'тьи	тре'тьих	тре'тьим	тре'тьих,тре'тьи	тре'тьими	тре'тьих
великий	вели'кий	great, the Great, Grand	groß, bedeutend, gewaltig	бо'льше;бо'лее	велича'йший	вели'к	велика'	велико'	велики'	вели'кий	вели'кого	вели'кому	вели'кий,вели'кого	вели'ким	вели'ком	вели'кая	вели'кой	вели'кой	вели'кую	вели'кой,(вели'кою)	вели'кой	вели'кое	вели'кого	вели'кому	вели'кое	вели'ким	вели'ком	вели'кие	вели'ких	вели'ким	вели'кие,вели'ких	вели'кими	вели'ких
следующий	сле'дующий	next, following	nächste; folgende							сле'дующий	сле'дующего	сле'дующему	сле'дующего,сле'дующий	сле'дующим	сле'дующем	сле'дующая	сле'дующей	сле'дующей	сле'дующую	сле'дующей,сле'дующею	сле'дующей	сле'дующее	сле'дующего	сле'дующему	сле'дующее	сле'дующим	сле'дующем	сле'дующие	сле'дующих	сле'дующим	сле'дующих,сле'дующие	сле'дующими	сле'дующих
тяжёлый	тяжёлый	heavy; hard, difficult, severe	schwer; schwierig, kompliziert, ernst	тяжеле'е	тяжеле'йший	тяжёл	тяжела'	тяжело'	тяжелы'	тяжёлый	тяжёлого	тяжёлому	тяжёлый,тяжёлого	тяжёлым	тяжёлом	тяжёлая	тяжёлой	тяжёлой	тяжёлую	тяжёлой,(тяжёлою)	тяжёлой	тяжёлое	тяжёлого	тяжёлому	тяжёлое	тяжёлым	тяжёлом	тяжёлые	тяжёлых	тяжёлым	тяжёлые,тяжёлых	тяжёлыми	тяжёлых
готовый	гото'вый	ready, prepared, willing, on the point, finished, ready-made	bereit; fertig			гото'в	гото'ва	гото'во	гото'вы	гото'вый	гото'вого	гото'вому	гото'вый,гото'вого	гото'вым	гото'вом	гото'вая	гото'вой	гото'вой	гото'вую	гото'вой,(гото'вою)	гото'вой	гото'вое	гото'вого	гото'вому	гото'вое	гото'вым	гото'вом	гото'вые	гото'вых	гото'вым	гото'вые,гото'вых	гото'выми	гото'вых
личный	ли'чный	personal, private	persönlich, privat, Privat-, eigen, Personal-			ли'чен	ли'чна	ли'чно	ли'чны	ли'чный	ли'чного	ли'чному	ли'чный,ли'чного	ли'чным	ли'чном	ли'чная	ли'чной	ли'чной	ли'чную	ли'чной,(ли'чною)	ли'чной	ли'чное	ли'чного	ли'чному	ли'чное	ли'чным	ли'чном	ли'чные	ли'чных	ли'чным	ли'чные,ли'чных	ли'чными	ли'чных
длинный	дли'нный	long, lengthy	lang	длинне'е	длинне'йший	дли'нен	длинна'	длинно'	длинны'	дли'нный	дли'нного	дли'нному	дли'нный,дли'нного	дли'нным	дли'нном	дли'нная	дли'нной	дли'нной	дли'нную	дли'нной,(дли'нною)	дли'нной	дли'нное	дли'нного	дли'нному	дли'нное	дли'нным	дли'нном	дли'нные	дли'нных	дли'нным	дли'нные,дли'нных	дли'нными	дли'нных
сильный	си'льный	strong, powerful, fierce, keen, intense, violent, towering, potent, impressive, hard, heavy, good	stark, kräftig, heftig, leistungsstark; gewaltig, mächtig	сильне'е	сильне'йший	силён	сильна'	си'льно	си'льны,сильны'	си'льный	си'льного	си'льному	си'льный,си'льного	си'льным	си'льном	си'льная	си'льной	си'льной	си'льную	си'льной,(си'льною)	си'льной	си'льное	си'льного	си'льному	си'льное	си'льным	си'льном	си'льные	си'льных	си'льным	си'льные,си'льных	си'льными	си'льных
знакомый	знако'мый	familiar, acquainted; acquaintance, friend	bekannt			знако'м	знако'ма	знако'мо	знако'мы	знако'мый	знако'мого	знако'мому	знако'мый,знако'мого	знако'мым	знако'мом	знако'мая	знако'мой	знако'мой	знако'мую	знако'мой, знако'мою	знако'мой	знако'мое	знако'мого	знако'мому	знако'мое	знако'мым	знако'мом	знако'мые	знако'мых	знако'мым	знако'мые,знако'мых	знако'мыми	знако'мых
иной	ино'й	different, other, some	anders, anderweitig, jemand anderes							ино'й	ино'го	ино'му	ино'й,ино'го	ины'м	ино'м	ина'я	ино'й	ино'й	ину'ю	ино'й, ино'ю	ино'й	ино'е	ино'го	ино'му	ино'е	ины'м	ино'м	ины'е	ины'х	ины'м	ины'е,ины'х	ины'ми	ины'х
скорый	ско'рый	quick, fast, near, forthcoming	schnell, rasch; baldig	скоре'е	скоре'йший	ско'р	скора'	ско'ро	ско'ры	ско'рый	ско'рого	ско'рому	ско'рый,ско'рого	ско'рым	ско'ром	ско'рая	ско'рой	ско'рой	ско'рую	ско'рой,(ско'рою)	ско'рой	ско'рое	ско'рого	ско'рому	ско'рое	ско'рым	ско'ром	ско'рые	ско'рых	ско'рым	ско'рые,ско'рых	ско'рыми	ско'рых
простой	просто'й	simple, easy, common, plain, mere	einfach, leicht, simpel, unkompliziert	про'ще	просте'йший	про'ст	проста'	про'сто	про'сты,просты'	просто'й	просто'го	просто'му	просто'й,просто'го	просты'м	просто'м	проста'я	просто'й	просто'й	просту'ю	просто'й,(просто'ю)	просто'й	просто'е	просто'го	просто'му	просто'е	просты'м	просто'м	просты'е	просты'х	просты'м	просты'е,просты'х	просты'ми	просты'х
военный	вое'нный	military, soldier, military man, serviceman, the military	Militär-, Kriegs-, Rustungs-, militärisch, Wehr-			вое'нен	вое'нна	вое'нно	вое'нны	вое'нный	вое'нного	вое'нному	вое'нный,вое'нного	вое'нным	вое'нном	вое'нная	вое'нной	вое'нной	вое'нную	вое'нной,(вое'нною)	вое'нной	вое'нное	вое'нного	вое'нному	вое'нное	вое'нным	вое'нном	вое'нные	вое'нных	вое'нным	вое'нные,вое'нных	вое'нными	вое'нных
кой	кой	which, that	welcher, was für, was für ein, welch							ко'й	ко'его	ко'ему	ко'й,ко'его	ко'им	ко'ем	ко'я	ко'ей	ко'ей	ко'ю	ко'ей, ко'ею	ко'ей	ко'е	ко'его	ко'ему	ко'е	ко'им	ко'ем	ко'и	ко'их	ко'им	ко'и,ко'их	ко'ими	ко'их
зелёный	зелёный	green	grün; noch grün, unerfahren, unreif	зелене'е	зелене'йший	зе'лен	зелена'	зе'лено	зе'лены,зелены'	зелёный	зелёного	зелёному	зелёный, зелёного	зелёным	зелёном	зелёная	зелёной	зелёной	зелёную	зелёной, зелёною	зелёной	зелёное	зелёного	зелёному	зелёное	зелёным	зелёном	зелёные	зелёных	зелёным	зелёные, зелёных	зелёными	зелёных
лучший	лу'чший	better, best, the best, the better	bester, besserer, am besten; der Beste							лу'чший	лу'чшего	лу'чшему	лу'чший,лу'чшего	лу'чшим	лу'чшем	лу'чшая	лу'чшей	лу'чшей	лу'чшую	лу'чшей,(лу'чшею)	лу'чшей	лу'чшее	лу'чшего	лу'чшему	лу'чшее	лу'чшим	лу'чшем	лу'чшие	лу'чших	лу'чшим	лу'чшие,лу'чших	лу'чшими	лу'чших
странный	стра'нный	strange, queer, odd, funny, rum	seltsam, sonderbar, merkwürdig, schrullig			стра'нен	странна'	стра'нно	стра'нны	стра'нный	стра'нного	стра'нному	стра'нный,стра'нного	стра'нным	стра'нном	стра'нная	стра'нной	стра'нной	стра'нную	стра'нной,(стра'нною)	стра'нной	стра'нное	стра'нного	стра'нному	стра'нное	стра'нным	стра'нном	стра'нные	стра'нных	стра'нным	стра'нные,стра'нных	стра'нными	стра'нных
страшный	стра'шный	terrible, frightful, fearful, dreadful	furchtbar, fürchterlich, grässlich; schrecklich, schlimm; bange			стра'шен	страшна'	стра'шно	страшны',стра'шны	стра'шный	стра'шного	стра'шному	стра'шный,стра'шного	стра'шным	стра'шном	стра'шная	стра'шной	стра'шной	стра'шную	стра'шной,(стра'шною)	стра'шной	стра'шное	стра'шного	стра'шному	стра'шное	стра'шным	стра'шном	стра'шные	стра'шных	стра'шным	стра'шные,стра'шных	стра'шными	стра'шных
единственный	еди'нственный	only, sole	einziger, der einzige			еди'нственен	еди'нственна	еди'нственно	еди'нственны	еди'нственный	еди'нственного	еди'нственному	еди'нственный,еди'нственного	еди'нственным	еди'нственном	еди'нственная	еди'нственной	еди'нственной	еди'нственную	еди'нственной,(еди'нственною)	еди'нственной	еди'нственное	еди'нственного	еди'нственному	еди'нственное	еди'нственным	еди'нственном	еди'нственные	еди'нственных	еди'нственным	еди'нственные,еди'нственных	еди'нственными	еди'нственных
российский	росси'йский	Russian; white, real Russian, comparing to nationality	russisch, Russland-							росси'йский	росси'йского	росси'йскому	росси'йского,росси'йский	росси'йским	росси'йском	росси'йская	росси'йской	росси'йской	росси'йскую	росси'йской,росси'йскою	росси'йской	росси'йское	росси'йского	росси'йскому	росси'йское	росси'йским	росси'йском	росси'йские	росси'йских	росси'йским	росси'йских,росси'йские	росси'йскими	росси'йских
