bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
оттащить	оттащи'ть		fortziehen, wegziehen, wegschleppen, fortschleppen	perfective	оттаскивать	оттащи'	оттащи'те	оттащи'л	оттащи'ла	оттащи'ло	оттащи'ли	оттащу'	отта'щишь	отта'щит	отта'щим	отта'щите	отта'щат
набираться	набира'ться	accumulate, come up, collect, learn, acquire	sich ansammeln, sich anhäufen	imperfective	набраться	набира'йся	набира'йтесь	набира'лся	набира'лась	набира'лось	набира'лись	набира'юсь	набира'ешься	набира'ется	набира'емся	набира'етесь	набира'ются
прокомментировать	прокомменти'ровать	comment	einen Kommentar geben, kommentieren	perfective	комментировать	прокомменти'руй	прокомменти'руйте	прокомменти'ровал	прокомменти'ровала	прокомменти'ровало	прокомменти'ровали	прокомменти'рую	прокомменти'руешь	прокомменти'рует	прокомменти'руем	прокомменти'руете	прокомменти'руют
отдаться	отда'ться	give oneself up, resound, reverberate, ring	sich widmen, sich hingeben, widerhallen	perfective	отдаваться	отда'йся	отда'йтесь	отда'лся	отдала'сь	отда'лось//отдало'сь	отда'лись//отдали'сь	отда'мся	отда'шься	отда'стся	отдади'мся	отдади'тесь	отдаду'тся
приостановиться	приостанови'ться		stoppen, stocken	perfective	приостанавливаться	приостанови'сь	приостанови'тесь	приостанови'лся	приостанови'лась	приостанови'лось	приостанови'лись	приостановлю'сь	приостано'вишься	приостано'вится	приостано'вимся	приостано'витесь	приостано'вятся
известить	извести'ть	inform, notify	benachrichtigen, in Kenntnis setzen, wissen lassen	perfective	извещать	извести'	извести'те	извести'л	извести'ла	извести'ло	извести'ли	извещу'	извести'шь	извести'т	извести'м	извести'те	известя'т
отрабатывать	отраба'тывать	clear by working, work off, work, work through, give a work-out, perfect	abarbeiten	imperfective	отработать	отраба'тывай	отраба'тывайте	отраба'тывал	отраба'тывала	отраба'тывало	отраба'тывали	отраба'тываю	отраба'тываешь	отраба'тывает	отраба'тываем	отраба'тываете	отраба'тывают
дрыхнуть	дры'хнуть	sleep sluggishly and immoderately	pennen	imperfective	-	дры'хни	дры'хните	дры'х,дры'хнул	дры'хла,дры'хнула	дры'хло,дры'хнуло	дры'хли,дры'хнули	дры'хну	дры'хнешь	дры'хнет	дры'хнем	дры'хнете	дры'хнут
обыскать	обыска'ть	search, conduct a search	eine Haussuchung vornehmen, eine Leibesvisitation vornehmen, durchsuchen	perfective	обыскивать	обыщи'	обыщи'те	обыска'л	обыска'ла	обыска'ло	обыска'ли	обыщу'	обы'щешь	обы'щет	обы'щем	обы'щете	обы'щут
проступить	проступи'ть	ooze, exude, show through	sich zeigen, zum Vorschein kommen	perfective	проступать	проступи'	проступи'те	проступи'л	проступи'ла	проступи'ло	проступи'ли	проступлю'	просту'пишь	просту'пит	просту'пим	просту'пите	просту'пят
очухаться	очу'хаться	come to oneself	sich besinnen, zur Vernunft kommen	perfective	очухиваться	очу'хайся	очу'хайтесь	очу'хался	очу'халась	очу'халось	очу'хались	очу'хаюсь	очу'хаешься	очу'хается	очу'хаемся	очу'хаетесь	очу'хаются
поплакать	попла'кать	shed a few tears	weinen	perfective		попла'чь	попла'чьте	попла'кал	попла'кала	попла'кало	попла'кали	попла'чу	попла'чешь	попла'чет	попла'чем	попла'чете	попла'чут
жертвовать	же'ртвовать	endow, make a donation, give, sacrifice, offer, offer up	opfern, spenden	imperfective	пожертвовать	же'ртвуй	же'ртвуйте	же'ртвовал	же'ртвовала	же'ртвовало	же'ртвовали	же'ртвую	же'ртвуешь	же'ртвует	же'ртвуем	же'ртвуете	же'ртвуют
осунуться	осу'нуться	get pinched, become thin and hollow-cheeked, become peaky	abmagern, hohlwangig werden	perfective		осу'нься	осу'ньтесь	осу'нулся	осу'нулась	осу'нулось	осу'нулись	осу'нусь	осу'нешься	осу'нется	осу'немся	осу'нетесь	осу'нутся
покормить	покорми'ть	feed, suckle, nurse, breast-feed, keep	(eine Zeit lang) füttern, stillen; zu essen / zu fressen geben	perfective	кормить	покорми'	покорми'те	покорми'л	покорми'ла	покорми'ло	покорми'ли	покормлю'	поко'рмишь	поко'рмит	поко'рмим	поко'рмите	поко'рмят
